AAB	ABELAG AVIATION	ABELAG
MBC	AIRJET EXPLORACAO AEREA DE CARGA, PASSAGEIROS E CORREIOS, LDA	MABECO
MBE	MARTIN-BAKER LTD.	MARTIN
MBF	MABE FLIGHTS, S.L.	MABE FLIGHTS
MBG	ZEPHYR AVIATION LTD	CHALGROVE
MBK	CHRONO JET INC	MATBLACK
MBL	FIRST CITY AIR PLC	FIRST CITY
MBN	ZAMBIAN AIRWAYS LIMITED	ZAMBIANA
MBO	MB AERO	AEROBEL
MBR	BRAZILIAN NAVY AVIATION	BRAZILIAN NAVY
MBS	MBACHI AIR/GROUND SERVICES LIMITED	MBACHI AIR
MBT	PROVINCE OF MANITOBA, AIR SERVICES BRANCH	MANITOBA
MBU	MARABU AIRLINES OU	MARABU
MCA	MEDITERRANEAN COASTAL AIRLINES LTD.	COASTAL CLIPPER
MCC	MCC AVIATION (PTY) LTD	DISCOVERY
MCD	AIR MEDICAL LTD	AIR MED
MCE	MARSHALL AEROSPACE	MARSHALL
MCG	SOS HELIKOPTERN GOTLAND AB	MEDICOPTER
MCH	MATCH JETS, S.A. DE C.V.	MATCH JET
MCJ	MACAIR JET S.A.	JETMAC
MCK	AEROWAYS	MAVERICK
MCL	MEDICAL AVIATION SERVICES LTD	MEDIC
MCM	HELI-AIR-MONACO	HELI AIR
MCN	MAC DAN AVIATION CORPORATION (FAIRFIELD, NJ)	MAC DAN
MCO	AEROLINEAS MARCOS, S.A. DE C.V.	MARCOS
MCP	MARCOPOLO AIRWAYS	MARCOPOLO
MCS	MCS AEROCARGA DE MEXICO S.A. DE C.V.	CARMEX
MCT	TRANSPORTACION AEREA DEL MAR DE CORTES, S.A. DE C.V.	TRANS CORTES
MCV	MTC AVIACION, S.A. DE C.V.	MTC AVIACION
MCW	AVIATION MACHINE WORKS - CENTRAFRIQUE (AMWCENTRAFRIQUE)	MACHINE WORKS
MCX	CARGO EXPRESS	MAURICARGO
MCY	AMBULANCE AIR AFRICA	MERCY
MDA	MANDARIN AIRLINES	MANDARIN
MDB	VERTICAL AVIATION, LLC	MARIANAS
MDE	MAURITANIENNE DE TRANSPORT AERIEN	MAURI-TRANS
MDF	SWIFTAIR HELLAS S.A.	MED-FREIGHT
MDG	AIR MADAGASCAR, SOCIETE NATIONALE MALGACHE DE TRANSPORTS AERIENS	AIR MADAGASCAR
MDH	MADINA AIR	MADINA AIR
MDI	IAS MEDICAL LTD	MEDOPS
MDJ	JETRAN AIR	JETRAN AIR
MDK	MADIKWE CHARTER CC	MADIKWE
MDL	MANDALA AIRLINES, PT.	MANDALA
MDM	MEDAVIA COMPANY LTD	MEDAVIA
MDN	MCDAN AVIATION SAN MARINO S.R.L.	MACDAN
MDO	MEL AIR LIMITED	KUDA
MDP	MEDALLION AIR	MEDALS
MDR	COMPANIA MEXICANA DE AEROPLANOS, S.A.	AEROPLANOS
MDS	MCNEELY CHARTER SERVICES, INC. (WEST MEMPHIS, AR)	MID-SOUTH
MDT	SUNDT AIR A/S	MIDNIGHT
MDV	MOLDAVIAN AIRLINES	MOLDAVIAN
MDW	FLYAWESOME LIMITED	MEDWING
MDX	MEDAIR CHARTER (PTY) LTD	MEDAIR
MEA	MIDDLE EAST AIRLINES - AIRLIBAN	CEDAR JET
MEC	MERCURY AIRCOURIER SERVICE (SALT LAKE CITY, UT)	MERCAIR
MEE	ELIMEDITERRANEA S.P.A.	ELIMEDITERRANEA
MEF	AIR MERIDIAN LIMITED	EMPENNAGE
MEG	MEGA GLOBAL AIR SERVICES (MALDIVES) PRIVATE LIMITED	SANDBAR
MEI	MERLIN AIRWAYS, INC. (BILLINGS, MT)	AVALON
MEJ	AIRMED INTERNATIONAL LLC (BIRMINGHAM,AL)	MEDJET
MEK	MED-TRANS OF FLORIDA, INC. (TAMPA, FL)	MED-TRANS
MEL	MEGA LINHAS AEREAS	MEGA AIR
MEM	MERIDIAN LTD	MERIDIAN CHERRY
MEN	MAE AIRCRAFT MANAGEMENT	RAHAL
MER	METHOW AVIATION, INC. (EAST WENATCHEE, WA)	METHOW
MES	MESABA AVIATION (GRAND RAPIDS, MN)	MESABA
MET	METEOROLOGICAL RESEARCH FLIGHT	METMAN
MEV	MED-VIEW AIRLINES (NIGERIA) LIMITED	MED-VIEW
MEY	JUSTAIR SCANDINAVIA AB	MELODY
MFA	MARTYN FIDDLER ASSOCIATES	SEAHORSE
MFB	MOUNTAIN FLYERS 80 LTD	MOUNTAINHELI
MFC	CANLINK AVIATION INC.	EAST WIND
MFD	MONARCH AIR GROUP, LLC (FT.LAUDERDALE,FL)	FREIGHT DOG
MFG	MID AFRICA AVIATION	MID AFRICA
MFJ	SOLENTA AVIATION MOZAMBIQUE SA	SEGURO
MFL	AERO MCFLY, S.A. DE C.V.	MCFLY
MFP	MAINE FOREST SERVICE	FOREST RANGER
MFR	MIDLINE AIR FREIGHT (OWENSBORO, KY)	MIDLINE FREIGHT
MFS	MILLER FLYING SERVICES, INC. (GRAND ISLAND, NE)	MILLER TIME
MFT	MULTIFLIGHT LTD	YORKAIR
MFX	MY FREIGHTER	WHITEBIRD
MFY	MEDIFLY, S.A. DE C.V.	MEDIFLY MEX
MGA	M G AVIACION S.L.	MAG AVIACION
MGB	COULSON FLYING SERVICES LIMITED	MOCKINGBIRD
MGC	AIR CARGO MONGOLIA	MONGOLIA CARGO
MGD	MIAMI AIR LEASE, INC. (MIAMI, FL)	MIAMI AIR
MGE	AERO-MICRONESIA, INC. D/B/A ASIA PACIFIC AIRLINES (DANVILLE, CA)	MAGELLAN
MGF	TRTO AGENCY LTD.	FOGLIA
MGG	ELMAGAL AVIATION SERVICES CO. LTD	ELMAGAL
MGH	MAVI GOK HAVACILIK A.S	MAVI
MGI	MARGHI AIR LIMITED	MARGHI
MGK	MEGA	MEGLA
MGL	MONGOLIAN AIRLINES	MONGOL AIR
MGM	TRANSPORTE AEREO MGM, S.A DE C.V.	AERO EMM-GEE-EMM
MGO	PUNTO FA S.L.	MANGO
MGP	ARIRANG AVIATION LIMITED	MAGPIE
MGR	MAGNA AIR	MAGNA AIR
MGS	AEROMAGAR, S.A. DE C.V.	AEROMAGAR
MGT	AIR ATTACK TECHNOLOGIES	MIGHTYVAN
MGW	MONGOLIAN AIRWAYS CARGO	GREAT MONGOLIAN
MGX	MONTENEGRO AIRLINES	MONTAIR
MGY	MADAGASCAR AIRLINES	MADAGASCAR AIRLINES
MHA	MOUNTAIN HIGH AVIATION (WALLA WALLA, WA)	MOUNTAIN HIGH
MHC	AERO JOMACHA, S.A. DE C.V.	AERO JOMACHA
MHD	YAS AIR KISH	YAS AIR
MHF	MARITIME HELICOPTERS (HOMER, AK)	AIR MARITIME
MHH	MOUNTHILL AVIATION RESOURCE SERVICES LTD.	MOUNTHILL
MHK	AL-NASER AIRLINES	AL-NASER
MHL	MERIDIAN AIRLINES LTD	HASSIMAIR
MHN	MANHATTAN AIR LIMITED	MANHATTAN
MHO	MOKULELE AIRLINES (KAILUA'KONA,HI)	MAHALO
MHQ	SKARGARDSHAVETS HELIKOPTERJANST AB (SHT)	HELICARE
MHS	AIR MEMPHIS	AIR MEMPHIS
MHU	AIR MEMPHIS	MEMPHIS UGANDA
MHV	MHS AVIATION GMBH, GRUENWALD	SNOWCAP
MIA	MAURIA, SOCIETE MAURITANIENNE D'AVIATION	MAURIA
MIC	MINT LINEAS AEREAS, S.A.	MINT AIRWAYS
MID	WATERS AERO-MARINE, INC. D/B/A PENOBSCOT ISLAND AIR (SOUTH THOMASTON, ME)	MIDCOAST
MIE	AERO PREMIER DE MEXICO, S.A. DE C.V.	AEROPREMIER
MIF	MIRAS, AVIACOMPANY	MIRAS
MIG	RUSSIAN AIRCRAFT CORPORATION -MIG, FEDERAL STATE UNITARY ENTERPRISE	MIG AVIA
MIH	MASSY AIRLINES	MASSYLINE
MIM	MILLESIME AVIATION	MILLESIME
MIR	SERVICIOS AEREOS MIRA, S.A. DE C.V.	AEROMIR
MIS	BIRD IN A BIPLANE LTD	ARTEMIS
MIT	FLIGHT LINE, INC. (JACKSON, MS)	MATCO
MIX	MIDEX AIRLINES	MIDEXCARGO
MIZ	DESARROLLO MILAZ, S.A. DE C.V.	MILAZ
MJA	ALMAJARA AVIATION	MAJARA
MJC	MANDARIN AIR CO., LTD	AIR MANDA
MJE	EMPIRE AVIATION GROUP	EMJET
MJF	MJET GMBH	EM-EXPRESS
MJI	MAJESTIC JET, INC. (FT.LAUDERDALE, FL)	MAJESTIC JET
MJL	JET LINE INTERNATIONAL LTD	MOLDJET
MJN	ROYAL AIR FORCE OF OMAN (AIR TRANSPORT)	MAJAN
MJP	AIR MAJORO S.A.	AIR MAJORO
MJR	MIDAMERICA JET, INC. (OWENSBORO, KY)	MAJOR
MJS	AIRCHARTERS WORLDWIDE INC. (FT.LAUDERDALE, FL)	JET SAVER
MJT	MADJET-TRANSPORTES AEREOS, S.A.	MADJET
MKA	MOKA AIRWAYS	MOKA AIR
MKB	MACK AIR	GREENTAIL
MKD	MAT AIRWAYS	MATAIRWAYS
MKE	MEGANTARA AIR, PT.	MEGANTARA
MKG	AIR MEKONG (MEKONG AVIATION JOINT STOCK COMPANY)	MEKONG
MKH	AIR MARRAKECH SERVICE	AIR MARRAKECH
MKL	MCCALL AVIATION, INC. (MCCALL, ID)	MCCALL
MKO	MARKOSS AVIATION LTD	GOSHAWK
MKR	LANMEI AIRLINES (CAMBODIA) CO., LTD	AIR LANME
MKU	ISLAND AIR (HONOLULU,HI)	MOKU
MKY	MONKY AEROTAXIS, S.A.	MONKY
MLA	FORTY-MILE AIR (TOK, AK)	MILE-AIR
MLB	MANAF INTERNATIONAL AIRWAYS	MANAF
MLC	MALILA AIRLIFT	MALILA
MLD	AIR MOLDOVA	AIR MOLDOVA
MLE	MOLDAEROSERVICE	MOLDAERO
MLF	AMAL AIRLINES	AMAL
MLH	AVION EXPRESS MALTA LTD	SOUTH WIND
MLI	MAIS LINHAS AEREAS S.A.	DEMAIS
MLK	MILLENNIUM AIR	NIGERJET
MLL	AEROCLUB DE MALLORCA	MALLORCA
MLM	COMLUX (MALTA) LTD	LUXMALTA
MLN	CORPORATE AIR, LLC (WEST MIFFLIN, PA)	MILLENNIUM
MLO	SERVICIOS AEREOS MILENIO, S.A. DE C.V.	MILENIO
MLR	MIHIN LANKA (PVT) LTD	MIHIN LANKA
MLS	MALL AIRWAYS, INC. (ALBANY, NY)	MALL-AIRWAYS
MLT	MALETH AERO AOC LTD	MALETH
MLU	ZRACNO PRISTANISTE MALI LOSINJ D.O.O.	MALI LOSINJ
MLV	MULTISERVICIOS AEREOS DEL VALLE, S.A.DE C.V.	MULTIVALLE
MLW	MEELADAIR S.A.	MEELADAIR
MLX	MALAWI EXPRESS LIMITED	MALAWI EXPRESS
MMA	MYANMAR AIRWAYS INTERNATIONAL CO. LTD	MYANMAR
MMC	AERMARCHE	AERMARCHE
MMD	AIR ALSIE A/S	MERMAID
MME	MULTIMEDIA ENTERTAINMENT GROUP AIR (PTY) LTD T/A MEGA	MAJESTIC AIR
MMF	NATO SUPPORT AND PROCUREMENT AGENCY	MULTI
MMG	AEREO RUTA MAYA	RUTA MAYA
MMH	MCMAHON HELICOPTER SERVICES, INC.	NIGHT RIDER
MMI	MARINA MILITARE ITALIANA	ITALIAN NAVY
MMJ	MACAU JET INTERNATIONAL	MACAUJET
MML	HUNNU AIR	TRANS MONGOLIA
MMM	MERIDIAN AIR COMPANY	AVIAMERIDIAN
MMN	PRO AIRWAYS, LLC (PLYMOUTH,MA)	MINUTEMAN
MMO	MALTA MEDAIR	MALIT
MMR	MUSRATA AIR TRANSPORT	MUSRATA AIR
MMS	SAAD (A320) LTD	MUSAAD AIR
MMT	SAM INTERCONTINENTAL GROUP S.A.	SAM INTER
MMU	ROADRUNAIR AVIATION	SKY TOUR
MMX	AIRMAX S.A.	PERUMAX
MMY	IASCO FLIGHT TRAINING (REDDING,CA)	MARMOT
MMZ	EUROATLANTIC AIRWAYS	EUROATLANTIC
MNA	MERPATI NUSANTARA AIRLINES, PT.	MERPATI
MNB	MNG HAVAYOLLARI VE TASIMACILIK A.S.	BLACK SEA
MND	CORPORATEJETS XXI S.A.	CUGAT
MNE	TOMONTENEGRO	MOUNT EAGLE
MNG	AERO MONGOLIA	AERO MONGOLIA
MNH	MONARCH AIRLINES (GRAND JUNCTION, CO)	MONARCH AIR
MNJ	MENAJET	MENAJET
MNL	MINILINER S.R.L.	MINILINER
MNM	MANASIK AVIATION COMPANY	MANASIK
MNO	TULCA (PTY) LTD	TULCA
MNP	SPIRIT OF MANILA AIRLINES CORP.	MANILA SKY
MNS	MEDSKY AIRWAYS	MEDSKY
MNT	MONTSERRAT AIRWAYS LTD (T/A FLYMONTSERRAT)	MONTSERRAT
MNU	ELITE AIRWAYS (PORTLAND, ME)	MAINER
MNV	MAURITANIENNE AERIENNE ET NAVALE	NAVALE
MNX	MANX AIRLINES LTD.	MANX
MNY	MOONEY AIRCRAFT CORPORATION (KERRVILLE, TX)	MOONEY FLIGHT
MNZ	MURMANSK AIRCOMPANY CO. LTD	MURMAN AIR
MOA	MOSCOW AIRLINES, JSC	MOSCOW AIRLINES
MOC	AERO MARAT SA DE CV	AEROMARAT
MOD	AEROCLUBE DE COIMBRA	MONDEGO
MOH	TIGERFLY	MOTH
MOL	TAXI AEREO DE MORELIA S.A DE C.V	TAXI MOREL
MON	MONARCH AIRLINES LTD.	MONARCH
MOP	APA - AEROPUBLICITARIA DE ANGOLA, LDA	PUBLICITARIA
MOR	AEROLINEAS DE MORELIA, S.A. DE C.V.	AEROMORELIA
MOS	SWEDISH MOOSE AIRLINES AB	MOOSE
MOT	MOTAHIDA AVIATION	MOTAHIDA
MOV	VIM AIRLINES	MOV AIR
MOW	MOHAWK AIRLINES (ONEONTA, NY)	MOHAWK AIR
MOZ	SALZBURGJETAVIATION GMBH	MOZART
MPA	MID-PACIFIC AIRLINES, INC. (HONOLULU, HI)	MID PAC
MPD	AIR COMET	RED COMET
MPE	CANADIAN NORTH INC.	EMPRESS
MPF	MAP EXECUTIVE FLIGHT SERVICE GMBH	EXECUTIVE WALTZ
MPH	MARTINAIR HOLLAND N.V.	MARTINAIR
MPI	MOSPHIL AERO INC.	MOSPHIL
MPJ	MAP-MANAGEMENT AND PLANUNG GMBH	MAPJET
MPO	TRANSPORTES AEREOS AMPARO, S.A. DE C.V.	AMPARO
MPR	EMPIRE AVIATION SERVICES LIMITED	HONEY BEE
MPX	AEROMEXPRESS, S.A. DE C.V.	AEROMEXPRESS
MQT	AIR ITM	MUSKETEER
MRA	MARTINAIRE (ADDISON, TX)	MARTEX
MRB	CENTRE PANKH KAZAKHSTAN	TOMA
MRC	MARTIN COMPANIES (KILGORE, TX)	MARTRANS
MRD	MERIDIAN AIR CARGO, INC. (MERIDIAN, MS)	MERIDIAN
MRE	NAMIBIA COMMERCIAL AVIATION (PTY) LTD	MED RESCUE
MRF	MAURITANIENNE AIR FRET	MAUR-FRET
MRG	MANAG'AIR	MANAG'AIR
MRH	MARHAM FTU	MARHAM
MRJ	MERAJ AIRLINES	MERAJ AIRLINE
MRK	MARKAIR INC. (ANCHORAGE, AK)	MARKAIR
MRM	MURMANSK AVIATION ENTERPRISE, LLC	MURMAN
MRN	MISSIONS GOUVERNEMENTALES FRANCAISES	MARIANNE
MRO	MORRISON FLYING SERVICE, INC. (HELENA, MT)	MORRISON
MRP	ABAS	ABAS
MRR	WEST ISLE AIR, INC. (ANACORTES, WA)	MARINER
MRS	MARS AVIA CJSC	MARS CARGO
MRT	AIR MAURITANIE	MIKE ROMEO
MRV	LLC XENA	XENA
MRW	MARS RK LTD	AVIAMARS
MRX	HERMEN'S MARKAIR EXPRESS (ST. MARY'S, AK)	SPEEDMARK
MRY	AIR MARINE	AIR MARINE
MRZ	MEDICAL AIR RESCUE SERVICES (MARS)	MARS
MSA	POSTE AIR CARGO S.R.L.	MISTRAL WINGS
MSB	AIR STORK	LONG
MSC	AIR CAIRO	AIR CAIRO
MSD	ATLANTIC COAST AIRCRAFT SERVICES (READING, PA)	MOOSEHEAD
MSE	EGYPTAIR EXPRESS	EGYPTAIR EXPRESS
MSF	MINSHENG INTERNATIONAL JET CO., LTD.	MINSHENG
MSG	SAR - SERVICO AEREO REGIONAL	SAR-REGIONAL
MSH	U S MARSHALS SERVICE, U.S. DEPARTMENT OF JUSTICE (WASHINGTON, DC)	MARSHALAIR
MSI	MOTOR SICH	MOTOR SICH
MSJ	MAGNUM AIR (SKY JET), INC.	MAGNUM AIR
MSK	MAK.KG AIRLINES	MAK AIRLINES
MSL	MARSLAND AVIATION	MARSLANDAIR
MSM	AEROMAS	AEROMAS EXPRESS
MSN	MILENIUM AIR SERVICIOS AEREOS INTEGRADOS, S.A. DE C.V.	MILCARGO
MSO	AEROLINEAS MESOAMERICANAS, S.A. DE C.V.	MESO AMERICANAS
MSP	SERVICIO DE VIGILANCIA AEREA DEL MINISTERIO DE SEGURIDAD PUBLICA	SEGURIDAD
MSQ	META - MESQUITA TRANSPORTES AEREOS LTDA	META
MSR	EGYPT AIR	EGYPTAIR
MSS	GLOBAL AVIATION SARL	GLOBE MASTER
MST	MASTER TOP LINHAS AEREAS LTDA.	MASTER
MSU	MGC AVIATION TA MALUTI SKY	MALUTI SKY
MSV	AERO-KAMOV, AFFILIATED COMPANY	AERAFKAM
MSX	EGYPTAIR CARGO	EGYPTAIR CARGO
MSY	MASSEY UNIVERSITY SCHOOL OF AVIATION	MASSEY
MTA	MITCHELL AERO, INC. D/B/A GAK/MITCHELL AERO, INC. (MILWAUKEE, WI)	GAK AVIATION
MTB	AEROTAXIS METROPOLITANOS, S.A. DE C.V.	AEROMETROPOLIS
MTC	MOUNTAIN AIR COMPANY LTD	MOUNTAIN LEONE
MTD	METROJETS LLC	MATADOR
MTE	MT FLY	TELEJET
MTF	INTERJET S.R.L.	INTERJET
MTG	SERVICIOS AEREOS M.T.T., S.A. DE C.V.	AERO TETE
MTH	MASSACHUSETTS INSTITUTE OF TECHNOLOGY (LEXINGTON, MA)	RESEARCH
MTI	MONTERREY AIR TAXI, S.A. DE C.V.	MONTERREY AIR
MTJ	METROJET LIMITED	METROJET
MTK	AIR METACK, LDA	AIRMETACK
MTL	RAF-AVIA	MITAVIA
MTM	MD AIR LTD	METACHEM
MTN	MOUNTAIN AIR CARGO, INC. (DENVER, NC)	MOUNTAIN
MTO	MARATHON AIRLINES	MARATHON
MTP	ISLAND HELICOPTERS, INC. (LONG ISLAND, NY)	METROCOPTER
MTR	METROFLIGHT INC. (HOUSTON, TX)	METRO
MTS	MED JETS, S.A. DE C.V.	MEDSERVICE
MTU	MIDDLE TENNESSEE STATE UNIVERSITY (MTSU)	BLUE RAIDER
MTV	MOUNTAIN VALLEY AIR SERVICE, INC. (VANCOUVER, WA)	MOUNTAIN VALLEY
MTW	MAURITANIA AIRWAYS	MAURITANIA AIRWAYS
MTX	MULTI TAXI, S.A. DE C.V.	MULTITAXI
MTY	AIR MONTGOMERY	MONTY
MUC	AIR MUNICH AVIATION AG	AIR MUNICH
MUI	TRANS AIR (HONOLULU, HI)	TRANSAIR
MUN	AEROMUNDO EJECUTIVO, S.A. DE C.V.	AEROMUNDO
MUS	AIR ADELPHI LTD	ADELPHI
MUT	AZIMUT, LLC	IGAVIA
MVA	MISSISSIPPI VALLEY AIRWAYS, INC. (LACROSSE, WI)	VALAIR
MVD	KAVMINVODYAVIA	AIR MINVODY
MVE	MOVE AIRCRAFT FLIGHT SOLUTIONS	MOVE FLIGHTS
MVG	MOLDOVA	MOLDOVA-STATE
MVJ	MIRA VISTA AVIATION	MIRA VISTA
MVK	NORTH STAR AVIATION	MINN STATE
MVN	MARVIN LTD	MARVIN
MVP	PREMIER AIR, INC. DBA PREMIER PRIVATE JETS	ALLSTAR
MVR	MAVERICK AIRWAYS CORPORATION (DENVER, CO)	MAV-AIR
MVS	SENOK AVIATION (PVT) LTD	AIR SENOK
MWG	MASWINGS	MASWINGS
MWI	MALAWIAN AIRLINES 2014	MALAWIAN
MWL	GERLACH & ASSOCIATES, LLC D/B/A MIDWEST AIR LINK (VALPARAISO, IN)	MIDWEST AIRLINK
MWM	MODERN TRANSPORTE AEREO  DE CARGA S.A.	MODERNAIR
MWN	MAX AIR SA NIGER	MAX NIGER
MWS	MALTA WINGS CO. LTD	MALTA WINGS
MWT	MIDWEST AVIATION DIVISION, INC. (MARSHALL, MN)	MIDWEST
MWY	MAURITANIENNE AIR WAYS	MAURITANIENNE
MXA	COMPANIA MEXICANA DE AVIACION, S.A.	MEXICANA
MXB	MEX BLUE, S.A. DE C.V.	MEX BLUE
MXD	MALINDO AIRWAYS SDN. BHD. DBA BATIK AIR	MALINDO
MXE	MOCAMBIQUE EXPRESSO	MOZAMBIQUE EXPRESS
MXF	MAXIMUM FLIGHT ADVANTAGES, LLC (MIAMISBURG, OH)	MAXFLIGHT
MXG	PRESIDENCIA DE MEXICO	PRESIDENCIA DE MEXICO
MXI	MEXICANA INTER, S.A. DE C.V.	MEXIN
MXM	MAXIMUS AIRLINES	MAXLINES
MXO	AEROTAXI MEXICANO, S.A. DE C.V.	MEXAERO
MXP	MAY AIR XPRESS, INC. (EL DORADO, AR)	BEECHNUT
MXQ	TRANSPORTES AEREOS MEXIQUENSES, S.A. DE C.V.	MEXIQUENSES
MXR	MAXIM AIR (PVT) LTD	MAXIM AIR
MXS	SUNRISE AIRLINES INC. D/B/A MILLON EXPRESS (MIAMI, FL)	MILLON EXPRESS
MXT	MEXICO TRANSPORTES AEREOS, S.A. DE C.V.	TRANSMEX
MXU	MAXIMUS AIR CARGO	CARGO MAX
MXX	MERCHANT EXPRESS AVIATION	MERCHANT
MXY	BREEZE AIRWAYS	MOXY
MYA	MYFLUG H.F.	MYFLUG
MYD	MAYA ISLAND AIR	MYLAND
MYF	MYFLIGHT, S.A. DE C.V.	MY FLIGHT
MYI	MAYAIR, S.A. DE C.V.	MAYAIR
MYK	BEIJING MYKYLIN GENERAL AVIATION CO., LTD.	MYLIN
MYM	MYAIRLINE SDN. BHD.	MYAIR
MYO	DOMINGUEZ TOLEDO, S.A. (GRUPO MAYORAL)	MAYORAL
MYP	MANN YADANARPON AIRLINES CO.LTD	MANN ROYAL
MYR	MAYAN AIR, S.A. DE C.V.	MAYAN
MYS	AERO YAQUI MAYO, S. A. DE C.V.	AERO YAQUI
MYU	MY INDO AIRLINES	INDO
MYV	LINEAS AEREAS DEL MAYAB, S.A. DE C.V.	LINEAS MAYAB
MYW	MYWAY AIRLINES CO LTD	MY SKY
MYX	SMARTLYNX AIRLINES ESTONIA	TALLINN CAT
MZA	IRTYSH-AIR	AZAMAT
MZH	MERSAL AIR CARGO	MERSAL
MZI	ZORTE AIR, LLC	ZORTE
MZN	AVIATION SPECIALTIES UNLIMITED, INC.	AMAZON
MZS	MAHFOOZ AVIATION	MAHFOOZ
MZT	FIRST MANDARIN BUSINESS AVIATION CO.,LTD	ZHONG TAI
N71	CITATION7SM	CITATION7SM
NAA	NORWEGIAN AIR ARGENTINA	NORUEGA
NAB	NIGER AIR CARGO	NIGER CARGO
NAC	NORTHERN AIR CARGO, INC. (ANCHORAGE, AK)	YUKON
NAE	NATIONAL AIRWAYS	NATIONAL
NAF	ROYAL NETHERLANDS AIR FORCE (KONINKLIJKE LUCHTMACHT)	NETHERLANDS AIR FORCE
NAG	NAEW&C FORCE E-3A FLEET	NATO
NAI	NOVAIR	NOVAIR
NAK	ENAC	ENACSCHOOL
NAL	NORTHWAY AVIATION LTD	NORTHWAY
NAM	GOVERNMENT AIR TRANSPORT SERVICES (GATS)	NAM
NAN	NORWEGIAN AIR NORWAY AS	NORSHIP
NAO	NORTH AMERICAN AIRLINES, INC. (JAMAICA, NY)	NORTH AMERICAN
NAR	AVIACION NACIONAL DE NICARAGUA, S.A. (NICARAGUA AIRWAYS)	NICA AIRWAYS
NAS	NASAIR	NASAIRWAYS
NAT	NORTH ATLANTIC AIR, INC. (DANVERS, MA)	MASS AIR
NAU	DANAUS LINEAS AEREAS, S.A. DE C.V.	DANAUS
NAV	NAV FLIGHT PLANNING	NAV DISPATCH
NAX	NORWEGIAN AIR SHUTTLE AS	NOR SHUTTLE
NAY	NAYSA SERVICIOS AEREOS S.L.	NAYSA
NAZ	SERVICIOS AEREOS DEL NAZAS, S.A. DE C.V.	NAZAS
NBE	NOVOSIBIRSK AVIAENTERPRISE	NAKAIR
NBK	ALBARKA AIR PLC	AL-AIR
NBL	NOBIL AIR	NOBIL AIR
NBN	NORTH BRITISH AIRLINES LTD	TEESSAIR
NBR	HAUGHEY AIR LTD	NORBROOK
NBS	NIMBUS AVIATION	NIMBUS
NBT	NORSE ATLANTIC AIRWAYS AS	LONGSHIP
NCA	NIPPON CARGO AIRLINES CO., LTD.	NIPPON CARGO
NCB	NORTH CARIBOU FLYING SERVICE LTD.	NORTH CARIBOU
NCC	T3 AVIATION, INC.	STARFLEET
NCE	NORTHCOAST EXECUTIVE AIRLINES (MIAMISBURG,OH)	TOP HAT
NCF	NORFOLK COUNTY FLIGHT COLLEGE LTD	COUNTY
NCG	NEDERLANDSE KUSTWACHT	NETHERLANDS COASTGUARD
NCH	CHANCHANGI AIRLINES (NIGERIA) LIMITED	CHANCHANGI
NCJ	NORTH CENTRAL AVIATION, LLC (ST.PAUL, MN)	NORTH CENTRAL
NCL	ACA-ANCARGO AIR SOCIEDADE DE TRANSPORTE DE CARGA LDA	ANCARGO AIR
NCN	NICON AIRWAYS LIMITED	NICON AIRWAYS
NCO	NATALCO AIR LINES	NATALCO
NCP	CAPITAL AIRLINES LIMITED	CAPITAL SHUTTLE
NCR	NATIONAL AIR CARGO GROUP, INC. (YPSILANTI, MI)	NATIONAL CARGO
NCS	SIMPSON AIR LTD.	COMMUTER CANADA
NCT	NOKSCOOT AIRLINES CO. LTD.	BIG BIRD
NDA	NORDICA	NORDICA AIR
NDC	NORVEGIAN AIR SHUTTLE SWEDEN AB	NORDIC
NDD	NORDEND SRL	NORDEND
NDF	NAMIBIAN DEFENCE FORCE	NAMIBIAN AIRFORCE
NDJ	MAIBA AIRWAYS	BASSAMAT
NDL	CHRONO AVIATION INC.D/B/A CHRONO AVIATION	NEEDLE
NDN	TRANSPORTES AEREOS CIELOS ANDINOS S.A.C.	ANDINOS
NDR	NORDAIR	NORDAIR
NDT	ND AEROTAXIS, S.A. DE C.V.	ND AEROTAXIS
NDU	UNIVERSITY OF NORTH DAKOTA (GRAND FORKS, ND)	SIOUX
NDY	NORMANDIE AVIATION	NORMANDIE
NEA	NEW ENGLAND AIRLINES, INC. (WESTERLY, RI)	NEW ENGLAND
NEB	DEPT. OF AERONAUTICS, STATE OF NEBRASKA (LINCOLN, NE)	NEBRASKA
NEC	NECON AIR LTD	NECON AIR
NEF	NORDFLYG LOGISTIK AB	NORDEX
NEG	LINEA AEREA DE FUMIG. AGUAS NEGRAS S.A.	AGUAS NEGRAS
NEJ	NETJETS BUSINESS AVIATION LIMITED	NET BUSINESS
NEL	NELLA AIRLINES LTDA	NELLA
NEN	NORTH-EAST AIRLINES LTD	NORTHEAST SWAN
NEP	MY JET XPRESS AIRLINES SDN BHD	WARISAN
NES	NORTH EAST WEST SOUTH AIRLINES AB	NEWS
NET	NETWORK AVIATION SERVICES (NIG) LTD	NETWORK
NEW	NORTHEASTERN AVIATION CORPORATION	NORTHEASTERN
NEX	NORTHERN EXECUTIVE AVIATION LTD.	NEATAX
NFA	NORTH FLYING A/S	NORTH FLYING
NFC	NORTH ATLANTIC CARGO AS	NORTH ATLANTIC
NFE	NORDICFLITE OY LTD	NORDIC BLUE
NFL	NORTHAIRE FREIGHT LINES LTD. (DAVISBURG, MI)	GREAT LAKES
